task,phase,arm,seed,samples,lr,prompts,group,batch,steps,initial_accuracy,final_accuracy,sample_auc,active_phase_seconds,job_seconds,output_tokens,mean_response_length,truncation_fraction,mixed_group_fraction,mean_training_reward,distinct_training_prompts,prompt_exposures,peak_allocated_gib,generation_seconds,training_seconds,weight_sync_seconds
countdown,screen,batch-256,0,16384,3e-06,64,8,256,2,0.01171875,0.169921875,0.156494140625,316.5175578594208,455.6960186958313,343212,20.947998046875,0.00103759765625,0.1708984375,0.1651611328125,2048,2048,52.68366861343384,194.9831600189209,114.29693055152893,7.237467288970947
countdown,screen,batch-256-sqrt,0,16384,4.242640687119286e-06,64,8,256,2,0.01171875,0.197265625,0.164306640625,317.9760162830353,458.2775640487671,311541,19.01495361328125,0.00103759765625,0.2431640625,0.16497802734375,2048,2048,51.90791893005371,196.45982575416565,114.46522903442383,7.050961494445801
countdown,screen,group-16,0,16384,3e-06,32,16,128,4,0.01171875,0.25,0.16455078125,315.1982264518738,452.9825236797333,280904,17.14501953125,0.00054931640625,0.359375,0.16162109375,1024,1024,52.180190086364746,195.71559357643127,112.5625479221344,6.9200849533081055
countdown,screen,group-32,0,16384,3e-06,16,32,128,4,0.01171875,0.119140625,0.098388671875,318.5307295322418,453.4408209323883,259614,15.8455810546875,0.0006103515625,0.24609375,0.11224365234375,512,512,50.90922212600708,195.0365400314331,116.26484799385071,7.229341506958008
countdown,screen,group-4,0,16384,3e-06,128,4,128,4,0.013671875,0.2421875,0.189208984375,314.60224890708923,447.76974844932556,279816,17.07861328125,0.00054931640625,0.14404296875,0.17962646484375,4096,4096,52.68505525588989,197.98285388946533,109.62095808982849,6.99843692779541
countdown,screen,onpolicy-large,0,16384,3e-06,64,8,512,1,0.01171875,0.228515625,0.156982421875,321.37386679649353,456.7604947090149,372326,22.7249755859375,0.00140380859375,0.2412109375,0.15789794921875,2048,2048,52.71986770629883,199.16792511940002,114.96390342712402,7.242038249969482
countdown,screen,onpolicy-large-sqrt,0,16384,6e-06,64,8,512,1,0.013671875,0.234375,0.156005859375,318.7127740383148,454.78637194633484,383097,23.38238525390625,0.00042724609375,0.1669921875,0.16241455078125,2048,2048,52.744788646698,196.71861791610718,114.943279504776,7.050876617431641
countdown,screen,onpolicy-small,0,16384,3e-06,16,8,128,1,0.01171875,0.1328125,0.13916015625,319.9960560798645,512.884405374527,277550,16.9403076171875,0.00048828125,0.0986328125,0.14276123046875,2048,2048,52.591487407684326,172.77589535713196,127.772705078125,19.447455644607544
countdown,screen,split-2,0,16384,3e-06,32,8,128,2,0.01171875,0.169921875,0.155517578125,321.0926206111908,475.6195297241211,239488,14.6171875,0.000244140625,0.16845703125,0.172607421875,2048,2048,52.581599712371826,195.46862483024597,114.08908367156982,11.534912109375
countdown,screen,split-4,0,16384,3e-06,64,8,128,4,0.013671875,0.228515625,0.166015625,318.98188066482544,453.3739674091339,336983,20.56781005859375,0.00054931640625,0.20458984375,0.1768798828125,2048,2048,53.03021049499512,195.38404726982117,116.50437760353088,7.093455791473389
countdown,screen,split-8,0,16384,3e-06,128,8,128,8,0.009765625,0.224609375,0.18310546875,340.8251097202301,468.18120551109314,299351,18.27093505859375,0.00164794921875,0.216796875,0.1500244140625,2048,2048,52.43107795715332,224.3866045475006,111.46831679344177,4.97018837928772
gsm8k,confirm,batch-256-sqrt,1,32768,4.242640687119286e-06,64,8,256,2,0.84375,0.84375,0.85595703125,868.399222612381,1072.522117614746,8814684,269.0028076171875,0.00067138671875,0.390625,0.83026123046875,4096,4096,54.88644218444824,458.4653515815735,398.67485070228577,11.259020328521729
gsm8k,confirm,batch-256-sqrt,2,32768,4.242640687119286e-06,64,8,256,2,0.83984375,0.84765625,0.857421875,853.4391145706177,1063.87371134758,8432363,257.3352966308594,0.0009765625,0.431640625,0.80816650390625,4096,4096,54.75575542449951,451.14838767051697,390.77880597114563,11.511920928955078
gsm8k,confirm,batch-256-sqrt,3,32768,4.242640687119286e-06,64,8,256,2,0.857421875,0.806640625,0.834228515625,872.2616264820099,1081.4339606761932,8765011,267.4869079589844,0.000946044921875,0.435791015625,0.80047607421875,4096,4096,54.78175735473633,458.3492474555969,402.4420669078827,11.470312118530273
gsm8k,confirm,onpolicy-large,1,32768,3e-06,64,8,512,1,0.849609375,0.8828125,0.8756103515625,897.2971444129944,1108.3284413814545,10114455,308.6686706542969,0.002227783203125,0.408203125,0.828887939453125,4096,4096,55.24496793746948,468.7196731567383,417.1798565387726,11.39761471748352
gsm8k,confirm,onpolicy-large,2,32768,3e-06,64,8,512,1,0.84765625,0.865234375,0.8682861328125,890.8077116012573,1099.0378925800323,9516172,290.4105224609375,0.001617431640625,0.41845703125,0.820343017578125,4096,4096,54.80518198013306,464.1965765953064,415.2781524658203,11.332982540130615
gsm8k,confirm,onpolicy-large,3,32768,3e-06,64,8,512,1,0.84765625,0.88671875,0.87158203125,892.535092830658,1102.9597346782684,9704743,296.1652526855469,0.00128173828125,0.40087890625,0.83203125,4096,4096,54.871787548065186,468.3874762058258,412.81135535240173,11.33626127243042
gsm8k,confirm,onpolicy-small,1,32768,3e-06,16,8,128,1,0.841796875,0.81640625,0.8436279296875,1090.1712384223938,1426.1216659545898,7524744,229.636962890625,0.00054931640625,0.386474609375,0.821044921875,4096,4096,54.81012964248657,651.4886543750763,402.11717343330383,36.56541061401367
gsm8k,confirm,onpolicy-small,2,32768,3e-06,16,8,128,1,0.841796875,0.83984375,0.8480224609375,1144.7869284152985,1453.3555471897125,8401564,256.3953857421875,0.000762939453125,0.372314453125,0.83343505859375,4096,4096,54.77160596847534,693.3699097633362,414.95253586769104,36.46448278427124
gsm8k,confirm,onpolicy-small,3,32768,3e-06,16,8,128,1,0.84765625,0.8359375,0.60498046875,1376.645516872406,1722.9489269256592,14708926,448.88079833984375,0.244232177734375,0.300048828125,0.591949462890625,4096,4096,54.96060752868652,774.7277843952179,565.5749464035034,36.34278607368469
gsm8k,screen,batch-256,0,16384,3e-06,64,8,256,2,0.84375,0.86328125,0.8720703125,453.3447985649109,595.183394908905,4788263,292.25238037109375,0.00140380859375,0.45947265625,0.8040771484375,2048,2048,54.82783365249634,235.22969436645508,210.94189620018005,7.173207998275757
